division,domain,wealth,age,age_when_married,school,class,working,newspaper,tv,asha,grameen,mclub,born,any,mmore,more,method,died,birth
1,1,1,46,12,2,,2,,1,2,2,2,,,2,,2,0,3
1,1,1,20,17,1,8,2,2,1,2,2,2,4,1,,,2,0,0
1,1,1,28,16,1,7,1,2,1,1,1,2,4,,2,,1,0,3
1,1,1,31,17,1,2,2,2,2,2,2,2,,,2,,1,0,4
1,1,1,32,9,1,4,2,2,2,1,2,2,4,,2,,1,0,4
1,1,1,25,13,1,5,2,2,2,2,2,2,,,,,,0,1
1,1,2,40,11,2,,2,,1,2,1,2,,,2,,1,0,2
1,1,2,20,14,1,3,2,2,1,1,2,2,,,1,,1,0,1
1,1,4,34,17,1,12,2,1,1,2,2,2,4,,2,,2,0,2
1,1,2,38,16,1,5,2,2,1,2,2,2,,,2,,1,0,3
1,1,1,45,17,1,5,2,2,2,1,1,2,,,2,,2,1,5
1,1,1,27,13,2,,2,,1,2,2,2,,,2,,1,0,1
1,1,1,19,19,1,8,2,2,1,2,2,2,4,1,,,1,0,0
1,1,3,38,14,1,5,2,2,2,2,2,2,,,2,,2,0,3
1,1,3,29,14,1,9,1,2,1,2,2,2,,,,,,0,1
1,1,1,36,19,1,4,2,2,2,2,2,1,4,,2,,1,0,4
1,1,3,42,16,1,5,2,2,1,2,2,2,4,,2,,2,0,4
1,1,3,18,15,1,8,2,2,1,2,2,2,4,,,,,0,0
1,1,3,17,15,1,9,2,2,1,2,2,2,,,1,,1,0,1
1,1,2,30,13,1,5,2,2,1,1,2,2,,,1,,1,0,2
1,1,4,24,22,1,14,1,1,1,2,2,2,,1,,,1,0,0
1,1,4,38,16,1,9,2,1,1,2,2,2,,,2,,2,0,3
1,1,2,42,15,1,5,2,2,1,2,2,1,,,2,,2,0,5
1,1,3,48,15,1,5,2,2,1,1,2,2,4,,2,,2,0,2
1,1,3,29,17,1,5,2,2,1,1,2,2,,,2,,2,0,2
1,1,2,36,15,1,5,2,2,1,2,2,2,,,2,,1,0,3
1,1,4,35,17,1,7,2,2,1,1,2,2,4,,1,,2,0,1
1,1,2,36,13,1,5,2,2,1,1,2,2,,,2,,1,0,3
1,1,3,44,11,1,5,2,2,2,1,2,2,4,,2,,1,1,6
1,1,3,25,14,1,7,2,1,1,1,2,2,,,2,,1,0,3
1,1,2,,,,,,,,,,,,,,,,0,
1,1,1,29,21,1,5,2,2,1,1,2,2,4,,2,,1,0,2
1,1,3,48,15,2,,2,,1,1,2,2,,,2,,2,0,4
1,1,1,26,13,1,7,2,2,2,1,2,2,,,2,,1,0,2
1,1,1,32,13,1,5,1,2,2,1,2,2,4,,2,,1,0,4
1,1,2,27,18,1,5,2,2,1,1,2,2,4,,2,,1,0,4
1,1,2,41,14,1,5,2,2,2,1,2,2,,,2,,2,0,3
1,1,2,22,18,1,8,2,2,2,2,2,2,,,1,,1,0,1
1,1,2,34,13,1,5,2,2,1,1,2,2,,,2,,1,0,3
1,1,2,,,,,,,,,,,,,,,,0,
1,1,1,28,14,2,,1,,1,1,2,2,2,,2,,2,1,3
1,1,1,45,15,2,,1,,1,1,2,2,,,2,,2,0,3
1,1,1,26,17,1,5,1,2,2,2,2,2,,,1,,1,0,1
1,1,1,19,14,1,6,2,2,1,2,2,2,,,1,,1,0,1
1,1,1,26,14,1,7,1,2,2,2,2,2,4,,2,,1,0,2
1,1,2,40,17,1,5,2,2,1,1,2,2,,,2,,1,0,2
1,1,1,34,17,1,5,1,2,1,2,2,2,4,,2,,2,0,3
1,1,4,27,13,1,10,2,2,1,2,2,2,,,2,,1,0,2
1,1,4,42,13,1,2,2,2,1,2,2,2,,,2,,2,0,2
1,1,1,43,16,1,4,2,2,2,2,2,2,,,,,,0,3
1,1,3,48,18,2,,2,,1,2,2,2,,,2,,2,0,3
1,1,3,31,22,1,10,1,2,1,2,2,2,,,1,,2,0,1
1,1,3,20,19,1,12,2,1,1,2,2,2,,,1,,2,0,1
1,1,1,24,14,1,5,2,2,1,1,2,2,2,,1,,1,0,2
1,1,2,30,16,2,,2,,1,2,2,2,4,,2,,1,0,3
1,1,1,25,17,1,5,1,2,2,2,2,2,4,,,,,0,1
1,1,1,37,17,1,5,2,2,2,1,2,2,,2,,,2,0,0
1,1,1,25,13,2,,2,,1,2,2,2,4,,2,,1,0,2
1,1,1,18,17,1,5,2,2,2,2,2,2,,,,,,0,0
1,1,1,36,19,1,5,1,2,2,1,2,2,,,2,,1,0,2
1,1,3,29,15,1,9,2,1,1,2,2,2,,,2,,1,0,2
1,1,1,21,18,1,2,2,2,2,2,2,2,4,1,,,2,0,0
1,1,2,20,14,1,12,2,1,1,2,2,2,2,,2,,1,0,1
1,1,1,21,19,1,5,2,2,1,2,2,2,2,,1,,2,0,1
1,1,2,20,16,1,8,2,2,1,1,1,2,,,1,,1,0,1
1,1,3,28,15,1,7,2,2,1,2,2,2,4,,2,,1,0,3
1,1,1,26,14,1,7,2,2,2,1,2,2,2,,2,,1,0,2
1,1,2,31,14,1,3,1,2,1,2,1,2,4,,2,,1,0,3
1,1,1,39,13,2,,1,,2,1,2,2,,,,,,0,3
1,1,1,38,14,1,2,2,2,1,1,2,2,4,,2,,1,1,5
1,1,1,30,13,1,8,2,2,1,1,1,2,4,,2,,2,0,3
1,1,1,25,11,2,,1,,2,1,2,2,,,1,,2,0,1
1,1,2,29,18,1,2,2,2,1,1,1,2,,,1,,1,0,2
1,1,2,27,17,1,8,2,2,1,1,1,2,,,2,,1,0,2
1,1,2,26,19,1,9,1,2,1,1,2,2,,,1,,1,0,1
1,1,2,24,19,1,9,2,2,1,1,2,2,,,1,,1,0,1
1,1,2,37,15,2,,2,,1,1,2,2,,,2,,1,0,4
1,1,1,36,13,1,6,2,2,1,1,2,2,,,2,,2,0,2
1,1,1,23,18,1,6,2,2,1,1,2,2,,,1,,1,0,2
1,1,1,48,15,2,,2,,1,2,2,1,4,,,,,2,6
1,1,1,20,18,1,9,2,2,1,1,1,2,,,,,,0,0
1,1,2,30,14,1,5,2,2,1,1,2,2,4,,2,,1,0,2
1,1,3,27,12,1,5,2,2,1,2,2,2,,,2,,1,0,3
1,1,3,22,15,1,9,2,2,1,1,1,2,,,1,,1,0,1
1,1,1,33,14,2,,2,,1,1,2,2,4,,2,,1,0,3
1,1,1,25,20,1,5,2,2,2,2,2,2,,,1,,1,0,1
1,1,2,26,15,1,9,2,2,1,1,2,2,,,2,,1,0,2
1,1,3,,,,,,,,,,,,,,,,0,
1,1,2,40,15,1,8,1,2,2,2,2,2,,,2,,2,0,2
1,1,1,23,15,1,2,2,2,2,2,2,2,,,2,,1,0,2
1,1,1,29,17,1,9,1,2,2,2,2,2,,,1,,2,0,1
1,1,1,33,18,1,5,1,2,2,2,1,2,,,2,,1,0,3
1,1,1,25,23,1,14,2,1,1,2,2,2,4,1,,,1,0,0
1,1,1,37,13,1,4,2,2,1,1,2,2,4,,2,,1,0,4
1,1,1,27,12,1,7,2,2,2,1,2,2,4,,2,,1,0,2
1,1,2,38,18,1,10,2,2,2,2,2,1,,,2,,1,0,2
1,1,1,27,11,1,5,2,2,2,2,1,2,,,2,,1,0,2
1,1,1,26,14,1,2,1,2,1,1,2,2,4,,2,,1,0,3
1,1,2,30,16,1,5,2,2,1,1,2,2,,,2,,1,0,2
1,1,1,30,16,2,,1,,1,2,2,2,,,2,,1,0,3
