wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
1,21.0,17.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,29.0,16.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,33.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,26.0,15.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,42.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
1,22.0,16.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,30.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1,3.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0
1,31.0,17.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,1,4.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0
1,27.0,14.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,26.0,17.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,34.0,16.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,21.0,16.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
1,26.0,14.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
